article_key,amendment_reference,amendment_decree_number,amendment_decree_date_hijri,amendment_scope_short,amendment_note_source_status,requires_manual_merge_flag,merge_decision_status,merge_notes
labor_law_art_002,BOE_AMENDMENT_NOTE,م/134,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_002,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_003,BOE_AMENDMENT_NOTE,م/134,27 / 11 / 1440,amendment_note_present,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_005,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_007,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_007,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_011,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_011,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,mukarrar_added_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_012,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_013,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_014,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_022,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_023,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_024,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_025,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_027,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_028,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_030,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_031,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_035,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_035,BOE_AMENDMENT_NOTE,م/44,,article_renumbered_by_amendment,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_037,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_039,BOE_AMENDMENT_NOTE,,12 / 5 / 1434,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_039,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_040,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_042,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_043,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_043,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_044,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_046,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_047,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_048,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
